story id,short story,Question 1,Option 1A,Option 1B,Option 1C,Option 1D,Correct Answer 1,Question 2,Option 2A,Option 2B,Option 2C,Option 2D,Correct Answer 2,Question 3,Option 3A,Option 3B,Option 3C,Option 3D,Correct Answer 3
16,"Leo was a street artist who painted colorful, ephemeral images on sidewalks, knowing they would wash away with the next rain. Some people thought his art was pointless, but Leo disagreed. He believed in the beauty of the moment, the joy his art brought to passersby, however brief. His creations were a reminder to appreciate the present, to find beauty in the fleeting, and that not everything beautiful needs to last forever to be meaningful.",What kind of art did Leo create?,Sculptures,Oil paintings,Street art on sidewalks,Digital art,C,How long did Leo's art usually last?,Forever,Several years,Until the next rain,Only a few minutes,C,What was the message behind Leo's ephemeral art?,That art is a waste of time,That only permanent art is valuable,To appreciate the beauty of the moment and fleeting things,That rain is bad for art,C
17,"The small, independent bookstore was struggling against larger chains and online retailers. The owner, Ms. Eleanor, didn't just sell books; she created a haven for readers. She hosted poetry readings, book clubs, and let local artists display their work. She remembered her customers' names and their favorite genres. People came not just for books, but for the warmth and community she had built. The bookstore wasn't just a business; it was the heart of the neighborhood.",What was the challenge faced by the independent bookstore?,Too many customers,Competition from larger stores and online retailers,Lack of books,High rent,B,What did Ms. Eleanor do to make her bookstore special?,Sold coffee,Offered discounts,Created a haven with events and personal service,Only sold rare books,C,What did the bookstore become for the neighborhood?,Just a place to buy books,A noisy place,A place for meetings,The heart of the neighborhood and a community hub,D
18,"Ahmed had recently moved to a new country and felt isolated. He missed his family, his friends, and the familiar sounds of his homeland. One evening, he decided to cook a traditional meal from his country. The aroma filled his small apartment, bringing back memories. He shared some with his neighbor, an elderly woman who had lived on the street for decades. They couldn't speak the same language perfectly, but they shared smiles and the universal language of food. A connection was made.",Why did Ahmed feel isolated?,He didn't like his new apartment,He missed his old country and people,He didn't have a job,He was sick,B,What did Ahmed do that reminded him of his homeland?,Listened to music,Looked at photos,Cooked a traditional meal,Watched movies,C,How did Ahmed connect with his neighbor?,Through a translator,By sharing food,By writing letters,By using sign language,B
19,"The old bridge spanned a deep gorge, connecting two villages that rarely interacted. Generations had passed with little contact. One spring, a flood damaged the bridge, making it impassable. The people of both villages, facing hardship, realized they needed each other. They worked together to repair the bridge, sharing skills and resources. As they rebuilt the physical connection, they also built bridges of understanding and cooperation. The repaired bridge became a symbol of their newfound unity.",What was the problem with the bridge?,It was too narrow,It was too long,It was damaged by a flood,It was made of weak materials,C,Before the flood, how did the two villages interact?,Frequently,They were enemies,Rarely,They were one large village,C,What did the repaired bridge symbolize?,The end of the villages Continued separation,Newfound unity and cooperation,A warning of future floods,C
20,"Maria was a shy artist who painted vibrant, abstract canvases in her small studio. She rarely showed her work to anyone. One day, a friend convinced her to display a few pieces at a local cafe. Maria was nervous, but she agreed. To her surprise, people were drawn to her art, commenting on the color and emotion. She received compliments and even sold a piece. Maria realized that sharing her art, her inner world, could connect her with others in unexpected and beautiful ways.",What kind of art did Maria create?,Portraits,Landscapes,Vibrant, abstract canvases,C,Why was Maria hesitant to display her art?,She didn't have enough pieces,She thought her art wasn't good enough,She was shy,The cafe was too small,C,What did Maria learn by displaying her art?,That people didn't like her art,That she should keep her art private,That sharing her art could lead to connection,That she was not a good artist,C
21,"The small community garden was neglected and overgrown. It had once been a vibrant space where neighbors gathered, but over time, people had stopped coming. A young woman named Chloe decided to revitalize it. She started clearing weeds alone, but soon, an elderly man offered to help, then a family, and then more people. They worked side by side, sharing stories and spades. As the garden bloomed, so too did the sense of community. It wasn't just about growing vegetables; it was about growing connections.",What was the condition of the community garden?,Well-maintained,Full of flowers,Neglected and overgrown,Very small,C,Who initially started revitalizing the garden?,An elderly man,A group of children,A young woman named Chloe,The local government,C,What grew in the garden alongside the plants?,Weeds,Conflict,A sense of community,Only vegetables,C
22,"The old storyteller sat on a park bench, his voice a soft murmur weaving tales of dragons, heroes, and faraway lands. Children gathered around him, their eyes wide with imagination. In a world of screens and fast-paced information, his stories were a link to a timeless tradition. He didn't charge money, just asked for their attention. He knew that sharing stories wasn't just entertainment; it was a way of passing on wisdom, sparking creativity, and connecting generations.",What did the old storyteller do in the park?,Played music,Sold books,Wove tales for children,Taught history,C,What was the significance of the storyteller's tales in the modern world?,They were irrelevant,They were a link to tradition and imagination,They were boring,They were only for very young children,B,What did the storyteller understand about sharing stories?,It was a way to get famous,It was only for entertainment,It was a way to pass on wisdom and connect people,It was a waste of time,C
23,"A group of diverse neighbors, from different backgrounds and ages, lived on the same street but rarely spoke. They were friendly but kept to themselves. When a fierce storm hit, knocking out power and damaging homes, they had to rely on each other. They shared generators, food, and helped with repairs. In the aftermath, the street was changed. The storm had brought hardship, but it had also broken down barriers and forged new friendships based on shared vulnerability and mutual aid.",What caused the neighbors to interact more?,A block party,A new community center,A fierce storm,A neighborhood watch program,C,Before the storm how did the neighbors typically interact?,They had regular gatherings,They were unfriendly,They were friendly but kept to themselves,They avoided each other completely,C,What was the unexpected positive outcome of the storm?,Lower electricity bills,Stronger houses,New friendships and a stronger sense of community,More time off work,C
24,"The young street artist painted a mural of a dove with an olive branch on a wall that had previously been covered in graffiti promoting division. He worked slowly, carefully, ignoring the stares and occasional jeers. His act was small, but the image of peace began to resonate. People stopped, looked, and talked to each other about the message. The mural didn't erase the past, but it offered a visual plea for harmony, a silent but powerful act of communication in a troubled space.",What did the young street artist paint on the wall?,His name,Political slogans,A dove with an olive branch,Abstract shapes,C,What was on the wall before the artist painted the mural?,Advertisements,Other peaceful murals,Graffiti promoting division,Nothing,C,What was the impact of the artist's mural?,It was immediately removed,It caused more conflict,It offered a message of peace and sparked conversation,Nobody noticed it,C
25,"An elderly woman started leaving small bouquets of wildflowers on the benches in the local park every morning. She didn't ask for anything in return, just a silent offering of beauty. People walking through the park would pause, smile, and sometimes take a flower. These simple acts brightened their days, a small ripple of joy in the often-busy rush of life. The woman's quiet generosity was a reminder that even the smallest gestures can have a meaningful impact on others.",What did the elderly woman leave on the park benches?,Books,Food,Small bouquets of wildflowers,Letters,C,What was the woman's intention in leaving the flowers?,To sell them,To get attention,To offer a silent gift of beauty and joy,To clean the park,C,What was the effect of the woman's actions?,People ignored the flowers,The park became messy,Her small gestures brightened people's days,She was asked to stop leaving flowers,C
